gen_name,gen_type,gen_np_gen,gen_n_inv_max,gen_np_gen_max,gen_life_time,gen_base_cost,0,1,2,3,4,5
gen1,oil,2,3,10,30,45420000,0,1,1,0,0,0
gen3,hard coal,2,2,10,30,501866000,0,1,1,0,0,0
gen5,oil,2,3,10,30,45420000,0,1,1,0,0,0
gen7,hard coal,2,2,10,30,501866000,0,1,1,0,0,0
gen9,oil,3,3,15,30,227100000,0,2,1,0,0,0
gen12,oil,3,3,15,30,447387000,0,1,2,0,0,0
gen15,shunt reactor,1,5,5,30,7045200,0,0,1,0,0,0
gen16,oil,5,3,25,30,27252000,0,1,2,2,0,0
gen21,hard coal,1,2,5,30,1023542500,0,1,0,0,0,0
gen22,hard coal,1,2,5,30,1023542500,0,0,0,1,0,0
gen23,nuclear,1,1,5,60,2411200000,0,0,0,0,0,1
gen24,nuclear,1,1,5,60,2411200000,0,0,0,1,0,0
gen25,hydro,6,2,30,100,607475000,0,1,0,0,1,0
gen31,hard coal,2,2,10,30,1023542500,0,0,1,1,0,0
gen33,hard coal,1,2,5,30,2311225000,0,0,1,0,0,0
ren_gen1,offshore wind,0,5,5,30,2755000000,0,0,0,0,0,0
ren_gen2,offshore wind,0,5,5,30,2066250000,0,0,0,0,0,0
ren_gen3,onshore wind,0,5,5,30,350010000,0,0,0,0,0,0
ren_gen4,onshore wind,0,5,5,30,350010000,0,0,0,0,0,0
