Expandable elements,n_b,planned_install,n_inv_max,n_max,Life_time,per_unit_cost,allow_planned_decrease
conv_Nautilus-BE,0,2,6,6,40,308000,FALSE
conv_Nautilus-PEI,0,2,6,6,40,512700,FALSE
conv_TritonLink-BE,0,0,6,6,40,308000,FALSE
conv_DE2,0,0,6,6,40,308000,FALSE
conv_DE3,0,2,6,6,40,308000,FALSE
conv_DE4,0,0,6,6,40,308000,FALSE
conv_DE6,0,0,6,6,40,308000,FALSE
conv_TritonLink-DK,0,2,8,8,40,308000,FALSE
conv_GB1,0,0,6,6,40,308000,FALSE
conv_LionLink-GB,0,2,6,6,40,308000,FALSE
conv_GB2,0,0,6,6,40,308000,FALSE
conv_Nautilus-GB,0,2,6,6,40,308000,FALSE
conv_GB27,0,0,6,6,40,308000,FALSE
conv_GB3,0,0,6,6,40,308000,FALSE
conv_GB6,0,0,6,6,40,308000,FALSE
conv_NL9,0,0,6,6,40,308000,FALSE
conv_NL10,0,0,6,6,40,308000,FALSE
conv_LionLink-NL,0,2,6,6,40,308000,FALSE
conv_NO3,0,0,6,6,40,308000,FALSE
conv_OFW_DEC,0,0,6,6,40,521700,FALSE
conv_OFW_DEC2,0,1,6,6,40,521700,FALSE
conv_OFW_DK,0,2,8,8,40,521700,FALSE
conv_OFW_GB1,0,0,6,6,40,521700,FALSE
conv_OFW_GB2,0,0,6,6,40,521700,FALSE
conv_OFW_GB3,0,2,6,6,40,521700,FALSE
conv_OFW_GB4,0,0,6,6,40,521700,FALSE
conv_OFW_GB5,0,0,6,6,40,521700,FALSE
conv_LionLink-EI,0,2,6,6,40,308000,FALSE
conv_OFW_NL2,0,0,6,6,40,521700,FALSE
conv_OFW_NL3,0,0,6,6,40,521700,FALSE
conv_OFW_NO,0,0,6,6,40,521700,FALSE
dc_Nautilus - BE,0,2,6,6,40,760,FALSE
dc_TritonLink - BE,0,0,6,6,40,760,FALSE
dc_BE2_OFW_NL,0,0,6,6,40,760,FALSE
dc_BE5_OFW_NO,0,0,6,6,40,760,FALSE
dc_DE6_OFW_NO,0,0,6,6,40,760,FALSE
dc_GB1_OFW_GB5,0,0,6,6,40,760,FALSE
dc_GB2_OFW_GB4,0,0,6,6,40,760,FALSE
dc_GB27_OFW_GB1,0,0,6,6,40,760,FALSE
dc_GriffinLink_GB,0,2,6,6,40,760,FALSE
dc_GB6_OFW_GB2,0,0,6,6,40,760,FALSE
dc_NL9_OFW_NL3,0,0,6,6,40,760,FALSE
dc_NL10_OFW_NL2,0,0,6,6,40,760,FALSE
dc_NO3_OFW_NO,0,0,6,6,40,760,FALSE
dc_OFW_DEC_DE2,0,0,6,6,40,760,FALSE
dc_GriffinLink_DE,0,2,6,6,40,760,FALSE
dc_TritonLink - DK,0,2,8,8,40,760,FALSE
dc_OFW_DK_DE4,0,0,6,6,40,760,FALSE
dc_OFW_DK_OFW_NO,0,0,6,6,40,760,FALSE
dc_OFW_GB1_BE5,0,0,6,6,40,760,FALSE
dc_OFW_GB2_OFW_NL3,0,0,6,6,40,760,FALSE
dc_GriffinLink,0,2,6,6,40,760,FALSE
dc_OFW_GB4_OFW_DK,0,0,6,6,40,760,FALSE
dc_OFW_GB5_DE3,0,0,6,6,40,760,FALSE
dc_OFW_GB5_OFW_NO,0,0,6,6,40,760,FALSE
dc_LionLink - NL,0,2,6,6,40,760,FALSE
dc_OFW_NL2_OFW_DEC,0,0,6,6,40,760,FALSE
dc_LionLink,0,2,6,6,40,760,FALSE
dc_Nautilus,0,2,6,6,40,760,FALSE
dc_TritonLink,0,2,6,6,40,760,FALSE
rsgen_BE2,0,20,10,35,30,6365800,TRUE
rsgen_OFW_DEC,0,0,10,20,30,6365800,TRUE
rsgen_OFW_DEC2,0,0,10,20,30,6365800,TRUE
rsgen_OFW_DK,0,20,10,80,30,6365800,TRUE
rsgen_OFW_GB1,0,0,10,20,30,6365800,TRUE
rsgen_OFW_GB2,0,0,10,20,30,6365800,TRUE
rsgen_OFW_GB3,0,0,10,20,30,6365800,TRUE
rsgen_OFW_GB4,0,0,10,20,30,6365800,TRUE
rsgen_OFW_GB5,0,0,10,20,30,6365800,TRUE
rsgen_OFW_NL,0,20,10,30,30,6365800,TRUE
rsgen_OFW_NL2,0,0,10,20,30,6365800,TRUE
rsgen_OFW_NL3,0,0,10,20,30,6365800,TRUE
rsgen_OFW_NO,0,0,10,20,30,6365800,TRUE
