Line_id,fromNode,toNode,R_Ohm_km,L_mH_km,C_uF_km,G_uS_km,A_rating,Length_km,N_cables
GBL1,GB1,GB2,0.005,0.2133,0.003375,0,2580,42,4
GBL2,GB2,GB3,0.006666667,0.2844,0.0045,0,2580,56,4
GBL3,GB3,GB4,0.02,0.8532,0.0135,0,2580,23,2
GBL4,GB3,GB6,0.02,0.8532,0.0135,0,2580,50,2
GBL5,GB4,GB5,0.02,0.8532,0.0135,0,2580,11,2
GBL6,GB5,GB6,0.02,0.8532,0.0135,0,2580,16,2
GBL10,GB6,GB10,0.02,0.8532,0.0135,0,2580,16,4
GBL11,GB10,GB11,0.02,0.8532,0.0135,0,2580,66,2
GBL12,GB11,GB15,0.02,0.8532,0.0135,0,2580,100,2
GBL13,GB10,GB16,0.02,0.8532,0.0135,0,2580,154,2
GBL14,GB10,GB17,0.02,0.8532,0.0135,0,2580,154,2
GBL15,GB10,GB12,0.02,0.8532,0.0135,0,2580,54,2
GBL16,GB12,GB13,0.02,0.8532,0.0135,0,2580,44,2
GBL17,GB13,GB18,0.02,0.8532,0.0135,0,2580,87,2
GBL18,GB13,GB14,0.02,0.8532,0.0135,0,2580,81,2
GBL19,GB14,GB20,0.02,0.8532,0.0135,0,2580,53,2
GBL20,GB15,GB16,0.02,0.8532,0.0135,0,2580,28,2
GBL21,GB16,GB17,0.02,0.8532,0.0135,0,2580,16,2
GBL22,GB17,GB18,0.02,0.8532,0.0135,0,2580,25,2
GBL23,GB18,GB20,0.02,0.8532,0.0135,0,2580,67,2
GBL24,GB18,GB19,0.02,0.8532,0.0135,0,2580,34,1
GBL25,GB19,GB20,0.02,0.8532,0.0135,0,2580,31,1
GBL26,GB15,GB21,0.02,0.8532,0.0135,0,2580,25,2
GBL27,GB21,GB23,0.02,0.8532,0.0135,0,2580,45,2
GBL28,GB15,GB22,0.02,0.8532,0.0135,0,2580,77,2
GBL29,GB16,GB22,0.02,0.8532,0.0135,0,2580,46,2
GBL30,GB18,GB22,0.02,0.8532,0.0135,0,2580,40,1
GBL31,GB19,GB24,0.02,0.8532,0.0135,0,2580,57,2
GBL32,GB22,GB24,0.02,0.8532,0.0135,0,2580,54,2
GBL33,GB23,GB24,0.02,0.8532,0.0135,0,2580,120,2
GBL34,GB23,GB25,0.02,0.8532,0.0135,0,2580,60,2
GBL35,GB24,GB26,0.02,0.8532,0.0135,0,2580,67,2
GBL36,GB25,GB26,0.02,0.8532,0.0135,0,2580,190,2
GBL37,GB10,GB27,0.02,0.8532,0.0135,0,2580,55,2
BEL1,BE1,BE2,0.033,0.38,0.17,0,920,45,6
BEL2,BE1,BE4,0.02,0.8532,0.0135,0,2580,50,2
BEL4,BE4,BE5,0.02,0.8532,0.0135,0,2580,26,2
BEL5,BE5,BE6,0.02,0.8532,0.0135,0,2580,45,2
BEL6,BE6,BE7,0.02,0.8532,0.0135,0,2580,34,2
BEL7,BE6,BE8,0.02,0.8532,0.0135,0,2580,14,2
NLL1,NL1,NL2,0.02,0.8532,0.0135,0,2580,36,2
NLL2,NL1,NL5,0.02,0.8532,0.0135,0,2580,50,2
NLL3,NL2,NL7,0.02,0.8532,0.0135,0,2580,53,2
NLL4,NL2,NL3,0.02,0.8532,0.0135,0,2580,14,2
NLL5,NL3,NL4,0.02,0.8532,0.0135,0,2580,15,2
NLL6,NL4,NL5,0.02,0.8532,0.0135,0,2580,8,2
NLL7,NL5,NL6,0.02,0.8532,0.0135,0,2580,13,2
NLL8,NL3,NL8,0.02,0.8532,0.0135,0,2580,55,2
NLL9,NL7,NL8,0.02,0.8532,0.0135,0,2580,28,2
NLL11,NL8,NL9,0.02,0.8532,0.0135,0,2580,92,2
NLL12,NL9,NL10,0.02,0.8532,0.0135,0,2580,98,2
DEL1,DE1,DE2,0.02,0.8532,0.0135,0,2580,50,2
DEL2,DE2,DE3,0.02,0.8532,0.0135,0,2580,34,2
DEL3,DE3,DE4,0.02,0.8532,0.0135,0,2580,85,2
DEL4,DE4,DE6,0.02,0.8532,0.0135,0,2580,62,2
DEL5,DE4,DE5,0.02,0.8532,0.0135,0,2580,25,3
DEL6,DE5,DE6,0.02,0.8532,0.0135,0,2580,28,2
DEL7,DE6,DE8,0.02,0.8532,0.0135,0,2580,63,2
DEL8,DE7,DE8,0.02,0.8532,0.0135,0,2580,13,2
DEL9,DE7,DE9,0.02,0.8532,0.0135,0,2580,45,2
DEL10,DE6,DE9,0.02,0.8532,0.0135,0,2580,67,2
DEL11,DE5,DE7,0.02,0.8532,0.0135,0,2580,35,2
DKL1,DK1,DK3,0.02,0.8532,0.0135,0,2580,50,2
DKL2,DK1,DK4,0.02,0.8532,0.0135,0,2580,60,1
DKL3,DK2,DK5,0.02,0.8532,0.0135,0,2580,17,2
DKL4,DK2,DK3,0.02,0.8532,0.0135,0,2580,14,2
DKL5,DK3,DK4,0.02,0.8532,0.0135,0,2580,28,2
DKL6,DK5,DK6,0.02,0.8532,0.0135,0,2580,48,2
DKL7,DK3,DK7,0.02,0.8532,0.0135,0,2580,113,2
DKL8,DK6,DK7,0.02,0.8532,0.0135,0,2580,97,1
NOL1,NO1,NO2,0.02,0.8532,0.0135,0,2580,80,1
NOL2,NO1,NO3,0.02,0.8532,0.0135,0,2580,42,2
NOL3,NO2,NO7,0.02,0.8532,0.0135,0,2580,149,1
NOL4,NO2,NO4,0.02,0.8532,0.0135,0,2580,63,1
NOL5,NO3,NO6,0.02,0.8532,0.0135,0,2580,51,1
NOL6,NO3,NO4,0.02,0.8532,0.0135,0,2580,125,1
NOL7,NO4,NO8,0.02,0.8532,0.0135,0,2580,119,1
NOL8,NO5,NO6,0.02,0.8532,0.0135,0,2580,68,1
NOL9,NO6,NO9,0.02,0.8532,0.0135,0,2580,55,1
NOL10,NO9,NO7,0.02,0.8532,0.0135,0,2580,40,1
NOL11,NO7,NO8,0.02,0.8532,0.0135,0,2580,135,1
