Conv_id,AC_type,DC_type,AC_node,DC_node,P_MW_AC,Q_AC,P_MW_DC,T_R_Ohm,T_X_mH,PR_R_Ohm,PR_X_mH,Filter_uF,Droop,AC_kV_base,MVA_rating,Nconverter,pol,Market
conv_DE2,PV,P,DE2,dc_DE2,0,0,0,0,0,0.403,33,0,0,220,1000,2,1,MTDC
conv_DE3,PV,P,DE3,dc_DE3,0,0,0,0,0,0.403,33,0,0,220,1000,2,1,MTDC
conv_DE4,PV,P,DE4,dc_DE4,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_DE6,PV,P,DE6,dc_DE6,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_GB1,PV,P,GB1,dc_GB1,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_GB2,PV,P,GB2,dc_GB2,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_GB27,PV,P,GB27,dc_GB27,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_GB3,Slack,PAC,GB3,dc_GB3,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_GB6,Slack,PAC,GB6,dc_GB6,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_NL10,Slack,PAC,NL10,dc_NL10,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_NL9,Slack,PAC,NL9,dc_NL9,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_NO3,PV,P,NO3,dc_NO3,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_DEC,Slack,PAC,OFW_DEC,dc_OFW_DEC,0,0,0,0,0,0.403,33,0,0,220,1000,2,1,MTDC
conv_OFW_DEC2,Slack,PAC,OFW_DEC2,dc_OFW_DEC2,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_DK,Slack,PAC,OFW_DK,dc_OFW_DK,0,0,0,0,0,0.403,33,0,0,220,1000,2,1,MTDC
conv_OFW_GB1,Slack,PAC,OFW_GB1,dc_OFW_GB1,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_GB2,Slack,PAC,OFW_GB2,dc_OFW_GB2,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_GB3,Slack,PAC,OFW_GB3,dc_OFW_GB3,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_GB4,Slack,PAC,OFW_GB4,dc_OFW_GB4,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_GB5,Slack,PAC,OFW_GB5,dc_OFW_GB5,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_NL2,Slack,PAC,OFW_NL2,dc_OFW_NL2,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_NL3,Slack,PAC,OFW_NL3,dc_OFW_NL3,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_OFW_NO,Slack,PAC,OFW_NO,dc_OFW_NO,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_LionLink-EI,Slack,PAC,OFW_NL,dc_OFW_NL,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_LionLink-GB,PV,P,GB14,dc_GB14,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_LionLink-NL,PV,P,NL6,dc_NL6,0,0,0,0,0,0.403,33,0,0,220,1000,2,1,MTDC
conv_Nautilus-BE,PV,P,BE1,dc_BE1,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_Nautilus-GB,PV,P,GB24,dc_GB24,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_Nautilus-PEI,PV,P,BE2,dc_BE2,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_TritonLink-BE,PV,P,BE5,dc_BE5,0,0,0,0,0,0.403,33,0,0,220,1000,1,1,MTDC
conv_TritonLink-DK,PV,P,DK6,dc_DK6,0,0,0,0,0,0.403,33,0,0,220,1000,2,1,MTDC
