Line_id,fromNode,toNode,R_Ohm_km,A_rating,kV_base,Mono_Bi_polar,Length_km,N_cables
dc_BE2_OFW_NL,dc_BE2,dc_OFW_NL,0.0095,1904.761905,525,m,180,1
dc_BE5_OFW_NO,dc_BE5,dc_OFW_NO,0.0095,1904.761905,525,m,760,1
dc_DE6_OFW_NO,dc_DE6,dc_OFW_NO,0.0095,1904.761905,525,m,630,1
dc_GB1_OFW_GB5,dc_GB1,dc_OFW_GB5,0.0095,1904.761905,525,m,140,1
dc_GB2_OFW_GB4,dc_GB2,dc_OFW_GB4,0.0095,1904.761905,525,m,140,1
dc_GB27_OFW_GB1,dc_GB27,dc_OFW_GB1,0.0095,1904.761905,525,m,90,1
dc_GriffinLink_GB,dc_GB3,dc_OFW_GB3,0.0095,1904.761905,525,m,130,1
dc_GB6_OFW_GB2,dc_GB6,dc_OFW_GB2,0.0095,1904.761905,525,m,110,1
dc_NL10_OFW_NL2,dc_NL10,dc_OFW_NL2,0.0095,1904.761905,525,m,215,1
dc_NL9_OFW_NL3,dc_NL9,dc_OFW_NL3,0.0095,1904.761905,525,m,260,1
dc_NO3_OFW_NO,dc_NO3,dc_OFW_NO,0.0095,1904.761905,525,m,150,1
dc_OFW_DEC_DE2,dc_OFW_DEC,dc_DE2,0.0095,1904.761905,525,m,220,1
dc_GriffinLink_DE,dc_OFW_DEC2,dc_DE3,0.0095,1904.761905,525,m,315,1
dc_OFW_DK_DE4,dc_OFW_DK,dc_DE4,0.0095,1904.761905,525,m,390,1
dc_OFW_DK_OFW_NO,dc_OFW_DK,dc_OFW_NO,0.0095,1904.761905,525,m,210,1
dc_OFW_GB1_BE5,dc_OFW_GB1,dc_BE5,0.0095,1904.761905,525,m,300,1
dc_OFW_GB2_OFW_NL3,dc_OFW_GB2,dc_OFW_NL3,0.0095,1904.761905,525,m,170,1
dc_GriffinLink,dc_OFW_GB3,dc_OFW_DEC2,0.0095,1904.761905,525,m,290,1
dc_OFW_GB4_OFW_DK,dc_OFW_GB4,dc_OFW_DK,0.0095,1904.761905,525,m,470,1
dc_OFW_GB5_DE3,dc_OFW_GB5,dc_DE4,0.0095,1904.761905,525,m,680,1
dc_OFW_GB5_OFW_NO,dc_OFW_GB5,dc_OFW_NO,0.0095,1904.761905,525,m,370,1
dc_OFW_NL2_OFW_DEC,dc_OFW_NL2,dc_OFW_DEC,0.0095,1904.761905,525,m,40,1
dc_LionLink,dc_OFW_NL,dc_GB14,0.0095,1904.761905,525,m,170,1
dc_LionLink - NL,dc_OFW_NL,dc_NL6,0.0095,1904.761905,525,m,130,1
dc_Nautilus,dc_BE2,dc_GB24,0.0095,1904.761905,525,m,120,1
dc_Nautilus - BE,dc_BE2,dc_BE1,0.0095,1904.761905,525,m,45,1
dc_TritonLink,dc_BE2,dc_OFW_DK,0.0095,1904.761905,525,m,600,1
dc_TritonLink - BE,dc_BE2,dc_BE5,0.0095,1904.761905,525,m,70,1
dc_TritonLink - DK,dc_OFW_DK,dc_DK6,0.0095,1904.761905,525,m,75,1
