OWPP_BE,L_BE,OWPP_DE,L_DE,OWPP_DK,L_DK,OWPP_GB,L_GB,OWPP_NL,L_NL,OWPP_NO,L_NO
BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load
0.925108306,0.562254416,0.469786788,0.515599622,0.074085877,0.592189679,0.42841864,0.533395246,0.356710733,0.486970177,0.10359116,0.665712468
0.925618894,0.541397103,0.503357024,0.504288112,0.315915719,0.593584379,0.422154316,0.532050256,0.357905744,0.476277122,0.14640884,0.660782443
0.927281066,0.523000595,0.453705826,0.491189323,0.125004223,0.565132497,0.411229947,0.508534281,0.354694152,0.463428009,0.14019337,0.662849873
0.918171168,0.510478269,0.453574821,0.485372169,0.127333027,0.553974895,0.395187166,0.482990147,0.373142132,0.455426912,0.125690608,0.669370229
0.91373613,0.513137527,0.437559362,0.487312353,0.157985138,0.550906555,0.380061115,0.464651317,0.373366196,0.452660178,0.099447514,0.670801527
0.91996375,0.526612423,0.428192448,0.481107842,0.169374954,0.555090656,0.357142857,0.472860025,0.400403316,0.45744588,0.114640884,0.675254453
0.927614827,0.533121651,0.455867422,0.493866844,0.173994868,0.552580195,0.334759358,0.487911103,0.533198895,0.469484914,0.205110497,0.664917303
0.927380531,0.542012304,0.408410572,0.502691113,0.204837699,0.582984658,0.311229947,0.498863163,0.608111136,0.484527474,0.354281768,0.644561069
0.923839574,0.556300853,0.454295353,0.535365033,0.213824788,0.613389121,0.295034377,0.503559953,0.653521548,0.50099079,0.466160221,0.645038168
0.927657928,0.582833896,0.444928438,0.559571461,0.219135657,0.645188285,0.286860199,0.502780713,0.582269027,0.502698189,0.520027624,0.668097964
0.924038504,0.630422703,0.471555366,0.595972844,0.543335399,0.648535565,0.281588999,0.52724672,0.590559414,0.501489301,0.542127072,0.706424936
0.921833694,0.626215519,0.475321783,0.602534132,0.361981711,0.653835425,0.281283422,0.564618226,0.594144447,0.518089707,0.613259669,0.718352417
0.917631847,0.603234769,0.532374808,0.594589911,0.708635987,0.660808926,0.272345302,0.603313372,0.539920831,0.522252271,0.678867403,0.717875318
0.873744529,0.611549911,0.85966004,0.589829495,0.708354258,0.664156206,0.253399542,0.617072832,0.553364702,0.550081631,0.694751381,0.704357506
0.928045842,0.593034332,0.877869846,0.594875332,0.7091252,0.645188285,0.22750191,0.628227709,0.512435581,0.568501601,0.642955801,0.742525445
0.933854604,0.615975392,0.872334851,0.620797684,0.789182559,0.681729428,0.205271199,0.65440164,0.408170887,0.588005833,0.609116022,0.763040712
0.921369524,0.647787259,0.858742999,0.661911914,0.809676465,0.726917713,0.182734912,0.698007067,0.359922324,0.628597066,0.561464088,0.758905852
0.903916715,0.662016273,0.809615826,0.661731826,0.805924128,0.694560669,0.167914439,0.724394488,0.373814325,0.62924513,0.537983425,0.74793257
0.917692631,0.646636237,0.786853568,0.644117267,0.786492396,0.647140865,0.15683728,0.697217152,0.293599223,0.615561011,0.53038674,0.731234097
0.92690752,0.636038897,0.732682671,0.609951682,0.770937112,0.626220363,0.151107716,0.659151802,0.311076257,0.59952143,0.46339779,0.720260814
0.929731223,0.617305021,0.798742344,0.587637869,0.710382316,0.59525802,0.142245989,0.625975385,0.304204944,0.575717544,0.367403315,0.745229008
0.933155033,0.615757095,0.673631808,0.575531257,0.609352808,0.572384937,0.135217723,0.584259348,0.272313093,0.547451987,0.309392265,0.743479644
0.933067725,0.600615201,0.619559165,0.532255982,0.55012821,0.555648536,0.130863254,0.539533096,0.310702816,0.518650532,0.249309392,0.735687023
0.924962424,0.570291725,0.377427701,0.502161045,0.516443992,0.521617852,0.145148969,0.500998068,0.318096945,0.500729072,0.187845304,0.730756997
0.928826091,0.530283786,0.228637867,0.48391788,0.42051868,0.511018131,0.153781513,0.493088246,0.247591306,0.473148967,0.150552486,0.746342239
0.934272358,0.493947212,0.155078112,0.482133998,0.368586965,0.512133891,0.156226127,0.484569977,0.176637538,0.457283864,0.137430939,0.722487277
0.92305601,0.492180988,0.111485933,0.4926606,0.292403785,0.518270572,0.161344538,0.471184125,0.165658376,0.457645285,0.129834254,0.716125954
0.924870695,0.500972415,0.089345954,0.516265605,0.218247342,0.523570432,0.177540107,0.457691528,0.110389125,0.464985855,0.136740331,0.715330789
0.930726979,0.532863663,0.112468477,0.558443368,0.154073761,0.561506276,0.182123759,0.44610967,0.134065277,0.485674049,0.149861878,0.722487277
0.928252509,0.595177615,0.153833557,0.642047964,0.116567628,0.639609484,0.179908327,0.442512356,0.177085667,0.533755406,0.154005525,0.761450382
0.877530834,0.625044652,0.170274785,0.711130064,0.107140233,0.724965132,0.166539343,0.470639724,0.177309732,0.591408168,0.18301105,0.811863868
0.756606693,0.68227823,0.228834376,0.764276152,0.10754279,0.767085077,0.156531704,0.513946264,0.236014639,0.643951196,0.214088398,0.799618321
0.721686707,0.711450685,0.259162218,0.780708252,0.063549197,0.784658298,0.149274255,0.560999562,0.282545373,0.673612582,0.236187845,0.800413486
0.786106936,0.736554872,0.299970524,0.801999307,0.037319602,0.806136681,0.147822765,0.599523916,0.319590709,0.676017897,0.217541436,0.809478372
0.756272932,0.760825561,0.397176825,0.821238048,0.042124927,0.815062762,0.151107716,0.613133933,0.43752334,0.670247635,0.186464088,0.821882952
0.74854781,0.762294106,0.434382471,0.834452365,0.06406937,0.79748954,0.15828877,0.609493921,0.318918515,0.658956368,0.169198895,0.821087786
0.748730162,0.747310974,0.585268398,0.821339984,0.090137788,0.7986053,0.159587471,0.617254299,0.320935096,0.671506375,0.149171271,0.817111959
0.628615004,0.74260766,0.750826974,0.804398203,0.232694613,0.787168759,0.155691367,0.620734194,0.333333333,0.681376887,0.102209945,0.8331743
0.49456368,0.739630879,0.777028133,0.801999307,0.320268915,0.775174338,0.145683728,0.642915853,0.308984988,0.68710976,0.092541436,0.8331743
0.504432828,0.744810478,0.81377526,0.811540526,0.440065714,0.794421199,0.14499618,0.690470853,0.300395847,0.710951034,0.080801105,0.820928753
0.610363158,0.790156777,0.835325713,0.827235289,0.536166724,0.843793584,0.151871658,0.769472999,0.282321309,0.759842471,0.073895028,0.802003817
0.761897131,0.798471919,0.803425802,0.820952627,0.610915666,0.792468619,0.160962567,0.820550592,0.305698708,0.737247473,0.074585635,0.79389313
0.822753194,0.765528875,0.793600367,0.807347555,0.632976718,0.747280335,0.1710466,0.799916739,0.303383374,0.708520794,0.075966851,0.786418575
0.834296671,0.727803136,0.766056398,0.760874884,0.73985808,0.70125523,0.185026738,0.755393303,0.281200986,0.676441631,0.07320442,0.777035623
0.876217895,0.690077396,0.726525399,0.72217654,0.692397917,0.670850767,0.201222307,0.704230314,0.210844723,0.643178504,0.069751381,0.762881679
0.883014677,0.693490772,0.686175613,0.682027305,0.704336623,0.639051604,0.220015279,0.648541326,0.187915453,0.602786675,0.06698895,0.732347328
0.912171213,0.683349871,0.640356336,0.640213114,0.763252834,0.613389121,0.235370512,0.585401522,0.184255732,0.566931293,0.065607735,0.724077608
0.919634411,0.643659456,0.577211542,0.60127692,0.766510122,0.609205021,0.243850267,0.524684835,0.169318097,0.539338726,0.060773481,0.70610687
0.923295831,0.615161738,0.553827007,0.576336552,0.759789985,0.618688982,0.262948816,0.51381817,0.139666891,0.518725308,0.051104972,0.688454198
0.931184519,0.589382814,0.538859595,0.569024336,0.756078182,0.617294282,0.289304813,0.512611949,0.121741728,0.505053652,0.043508287,0.686068702
0.922640467,0.582059933,0.517767661,0.568806872,0.738767643,0.609483961,0.322689076,0.497891782,0.106206587,0.498298832,0.040745856,0.685909669
0.925813403,0.584242905,0.503389775,0.590818275,0.683238003,0.621199442,0.357830405,0.478368079,0.121368287,0.500791386,0.042127072,0.6875
0.81386875,0.610359198,0.450823699,0.623380065,0.622562743,0.627057183,0.388540871,0.469924531,0.119949212,0.51634492,0.04558011,0.7081743
0.550437646,0.669279619,0.404021878,0.689050703,0.571255558,0.685355649,0.421695951,0.502407105,0.162969602,0.557883324,0.048342541,0.751113232
0.586682728,0.723417345,0.346084564,0.756817827,0.429500336,0.775453278,0.44025974,0.542714104,0.180147883,0.619187677,0.042127072,0.803117048
0.76334048,0.781603493,0.32790751,0.790568871,0.404206671,0.819525802,0.453323147,0.639137072,0.248861005,0.680143073,0.055248619,0.799459288
0.92074842,0.802143282,0.387187633,0.803915706,0.360630659,0.807810321,0.468449198,0.690150618,0.370229293,0.703784942,0.058701657,0.812818066
0.876041068,0.822365549,0.473585956,0.813647206,0.349503577,0.811436541,0.476546982,0.732870059,0.520203152,0.703884645,0.048342541,0.819815522
0.812512709,0.83113713,0.531130253,0.825706247,0.26240465,0.776847978,0.47394958,0.756300637,0.572783628,0.700881118,0.077348066,0.803594148
0.891265859,0.8138718,0.47502702,0.821557448,0.287378363,0.777684798,0.466997708,0.78063855,0.576742102,0.695223021,0.084254144,0.809319338
0.927918748,0.808255606,0.492221531,0.800460072,0.322720404,0.780753138,0.463254393,0.798657145,0.607214878,0.685016015,0.15538674,0.801049618
0.925952655,0.796725541,0.565912292,0.790062589,0.121604849,0.770711297,0.460045837,0.798924008,0.656583763,0.674534827,0.21339779,0.801685751
0.935478096,0.796388172,0.623161825,0.785190043,0.2488826,0.769874477,0.456302521,0.782613337,0.659645978,0.690325154,0.307320442,0.799300254
0.936893815,0.813018456,0.62191727,0.802658494,0.400934507,0.794421199,0.455233002,0.78847365,0.700575099,0.721681477,0.430939227,0.810114504
0.92328699,0.861063703,0.691514099,0.837738106,0.33758473,0.845467225,0.468601986,0.81778589,0.697363507,0.769962238,0.566298343,0.809637405
0.935150966,0.861123239,0.765990895,0.833351455,0.395851191,0.808647141,0.489533995,0.833050458,0.71693181,0.744550655,0.66781768,0.784351145
0.935053711,0.827902362,0.765073855,0.810324089,0.579717866,0.787726639,0.494041253,0.797152037,0.719620584,0.713294034,0.747237569,0.781806616
0.929564343,0.782794205,0.738774441,0.768856481,0.609088799,0.731938633,0.500305577,0.743544582,0.718649638,0.679594711,0.805248619,0.77274173
0.926584811,0.743282397,0.687813186,0.729210131,0.630020758,0.691771269,0.501145913,0.685048195,0.719097767,0.643826568,0.857734807,0.760655216
0.936253923,0.745028776,0.670978941,0.699278292,0.688300036,0.659693166,0.518105424,0.620670147,0.719097767,0.604469148,0.872237569,0.744115776
0.933970647,0.724508831,0.638718763,0.656801517,0.731318404,0.648256625,0.54407945,0.565675003,0.718350885,0.572377522,0.883287293,0.724077608
0.930672826,0.678190117,0.664068385,0.628310375,0.748242776,0.633472803,0.562414057,0.543536043,0.717230562,0.547589078,0.879143646,0.712945293
0.912402193,0.63494741,0.684014018,0.609234732,0.7539178,0.627894003,0.587547746,0.540365709,0.71857495,0.526427298,0.883287293,0.705311705
0.927727554,0.616610439,0.706874529,0.602958865,0.776617762,0.631241283,0.600993125,0.540782016,0.70259168,0.515609616,0.888121547,0.71071883
