BE_price,DE_price,DK_price,GB_price,NL_price,NO_price,BE_a,BE_b,DE_a,DE_b,DK_a,DK_b,GB_a,GB_b,NL_a,NL_b,NO_a,NO_b,BE_PGLmin,BE_PGLmax,DE_PGLmin,DE_PGLmax,DK_PGLmin,DK_PGLmax,GB_PGLmin,GB_PGLmax,NL_PGLmin,NL_PGLmax,NO_PGLmin,NO_PGLmax
BE,DE,DK,GB,NL,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
price,price,price,price,price,price,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max
-2.758558559,-5.16393442,2.01,52.44919393,-3.574406309,134.2570636,0.372313899,-17.7114877,0.001097825,-10.04766417,0.105500683,82.84149611,0.03420381,30.57833219,0.005574746,-6.255872284,0.007752311,137.6555526,0,108.7783784,0,13000.93483,-392.6111839,234.0216216,-195.3347218,1417.001702,0,849.6059059,-8878.355925,4151.031431
-2.362038256,-1.069078665,1.38,60.04479963,-2.056041216,131.8262374,0.280153076,-12.15286071,0.001575884,-10.68630166,0.104582457,59.78843111,0.033961464,52.57234312,0.009070409,-4.132727352,0.007208922,130.6581321,0,59.61671672,0,11019.64054,-285.8435001,306.2486486,-496.9514615,1136.213514,0,595.6628629,-9062.251756,4764.565566
-2.406602203,-1.520595462,0.09,49.51005457,-2.307195022,129.9121869,0.255074967,-12.36399583,0.001368183,-10.52600548,0.069853785,12.89998968,0.030538672,43.9117276,0.002744765,-1.410252156,0.007028498,124.7475175,0,69.22042042,0,11892.55135,-92.33565282,251.2114114,-465.2956028,979.7510511,0,650.2558559,-8874.407982,5184.041842
-7.177624291,-5.098432695,0.08,17.82614914,-5.139148297,124.9147323,0.142755616,-20.36985098,0.001177969,-10.74946882,0.090946156,-22.39167135,0.039945228,3.391885345,0.004473778,-7.557056356,0.007008225,118.0444347,0,245.0643644,0,13300.07467,0,426.0333333,-0.000114486,1085.192593,0,1588.98018,-8421.849662,5371.054254
-5,-4.467673999,0.05,0.164323447,-4.317272072,122.9725053,0.061157257,9.388811963,0.001279558,-11.07556843,0.071877028,-70.3202403,0.014787093,12.85603797,0.007136628,-11.0836054,0.007066198,114.6417464,-76.75959014,291.2211211,0,12963.59129,0,836.612012,-434.704724,1348.006106,0,1687.071171,-8111.982314,5520.457057
-5,-5.414969564,0,-1.122972973,-4.294001671,123.4957156,0.071642999,-5.561679899,0.001160025,-10.20656572,0.069666979,-115.9945831,0.018121178,-9.562210123,0.008506926,-12.85202787,0.007179137,115.6370528,0,401.4945946,0,12636.76937,0,1187.048048,0,1847.073273,0,1750.751351,-8053.687567,5351.305405
-3.585018352,-5.024158582,-0.38,-3.436164515,-2.448083612,124.7878726,0.057608247,1.340440077,0.001206996,-9.633827713,0.067258731,-134.5234091,0.025007872,-17.43731129,0.024500656,-16.80044786,0.007178508,117.3948255,-11.63409882,448.6940941,0,11576.98348,0,1336.424625,0,1427.298799,0,1092.595896,-8176.826264,5249.996597
-2.308108108,-1.273011885,0,0.017686346,-0.045399366,126.030053,0.066271648,-2.239388771,0.001632004,-10.38592089,0.067606058,-154.9382038,0.051896279,-13.22794512,0.039375334,-15.56385959,0.007069962,119.5144064,0,410.4567568,0,10178.16426,0,1501.933433,0,666.9598599,0,832.2474474,-8452.266533,5257.136637
-1.995079761,-2.226720246,0,0.193088931,0.013201099,129.9669769,0.093311604,-8.19887782,0.001675615,-10.70026769,0.068119433,-170.0757058,0.046123563,-27.66722076,0.060075182,7.75614262,0.007121503,124.695473,0,370.0477477,0,9934.378579,0,1602.865165,0,818.1101101,-64.55363398,337.0564565,-8754.856454,5212.259259
-2.455896498,-1.087061838,0.04,11.90281982,0.047940395,133.406507,0.0701007,-8.921111713,0.001772316,-10.45519546,0.067017503,-182.6936494,0.048372096,9.90745959,0.231611728,-11.96161329,0.007327156,134.884624,0,153.2597598,0,9354.541441,0,1701.819019,-102.4088298,437.9990991,0,139.6497497,-9204.432388,4545.807407
-2.258040665,-1.070815547,0.8,63.79610122,0.440302192,138.1923507,0.082945072,-9.626848372,0.001723587,-10.62478348,0.065811163,-205.164089,0.0410125,51.49745038,0.62982147,8.236555008,0.00768657,147.2180724,0,141.7333333,0,9837.736036,0,1907.318919,-354.2768961,1206.631632,-6.538801391,39.54024024,-9576.317681,3869.332432
-2.17035881,-1.070891833,0.08,101.2903621,0.431766365,144.9571075,0.09240772,-10.15133854,0.001782513,-10.52503062,0.067961847,-228.1254003,0.026979204,88.32590796,0.483373485,7.275015029,0.007381475,153.9102988,0,135.3326326,0,9388.985285,0,1966.188188,-1228.045863,1650.242543,-7.525252475,45.01921922,-10425.44334,4140.973173
