Node_id,type,Voltage_0,theta_0,Power_Gained,Reactive_Gained,Power_load,Reactive_load,Umin,Umax,x_coord,y_coord,Market,kV_base
BE1,PV,1.095,0.045588,0,0,0,0,0.9,1.1,2.845459,51.158677,BE,380
BE2,PV,1.1,0.058503437,0,0,0,0,0.9,1.1,2.470551,51.364921,BE,380
BE4,Slack,1,0,0,0,1300,0,0.9,1.1,3.469108902,50.78246468,BE,380
BE5,PQ,1.084,-0.024521876,0,0,0,0,0.9,1.1,3.628235,51.10266,BE,380
BE6,PQ,1.086,-0.066497045,0,0,0,0,0.9,1.1,4.246895926,51.1540967,BE,380
BE7,PQ,1.084,-0.101438536,0,0,1300,0,0.9,1.1,4.231690642,50.88088324,BE,380
BE8,PQ,1.087,-0.065135688,0,0,1300,0,0.9,1.1,4.307260504,51.30118844,BE,380
DE1,Slack,1,0,0,0,2500,0,0.9,1.1,7.309198552,53.12601855,DE,380
DE2,PV,1.1,0.291347812,0,0,0,0,0.9,1.1,8.052802725,53.33233869,DE,380
DE3,PQ,1.099,0.243089458,0,0,2500,0,0.9,1.1,8.402753252,53.23674861,DE,380
DE4,PQ,1.094,0.156433861,0,0,2500,0,0.9,1.1,9.501948888,53.54291062,DE,380
DE5,PQ,1.092,0.151442219,0,0,0,0,0.9,1.1,9.6379897,53.6426478,DE,380
DE6,PQ,1.096,0.137078159,0,0,2500,0,0.9,1.1,10.15947704,53.55537458,DE,380
DE7,PV,1.099,0.157882484,0,0,0,0,0.9,1.1,9.341514177,53.92326061,DE,380
DE8,PV,1.1,0.167045463,0,0,0,0,0.9,1.1,9.201525929,53.89571897,DE,380
DE9,PQ,1.1,0.134529979,0,0,0,0,0.9,1.1,9.725769967,54.28768538,DE,380
DK1,PQ,1.092,0.095172804,0,0,0,0,0.9,1.1,9.269876333,55.03683248,DK,380
DK2,PV,1.096,0.108646746,0,0,120,0,0.9,1.1,8.9161039,55.5286593,DK,380
DK3,PV,1.093,0.099012528,0,0,0,0,0.9,1.1,9.167976905,55.50508207,DK,380
DK4,Slack,1.084,0,0,0,700,0,0.9,1.1,9.546964567,55.56399285,DK,380
DK5,PV,1.095,0.106796697,0,0,0,0,0.9,1.1,8.706863041,55.53174507,DK,380
DK6,PV,1.091,0.101647976,0,0,0,0,0.9,1.1,8.552944588,56.35138683,DK,380
DK7,PV,1.084,0.081384703,0,0,340,0,0.9,1.1,9.566672108,56.47798039,DK,380
GB1,Slack,1,0,0,0,300,0,0.9,1.1,-1.743259312,54.97763398,GB,380
GB2,PQ,1,0,0,0,0,0,0.9,1.1,-1.472168,54.604131,GB,380
GB3,PQ,0.957,-0.094736472,0,0,0,0,0.9,1.1,-0.822070901,53.90040029,GB,380
GB4,PQ,0.962,-0.114895025,0,0,1300,0,0.9,1.1,-0.992442548,53.73621727,GB,380
GB5,PQ,0.966,-0.109920836,0,0,0,0,0.9,1.1,-1.0692832,53.6366337,GB,380
GB6,PQ,0.971,-0.10273008,0,0,0,0,0.9,1.1,-0.756037109,53.59806107,GB,380
GB10,PQ,0.964,-0.114266706,0,0,0,0,0.9,1.1,-0.80883446,53.35935915,GB,380
GB11,PQ,0.943,-0.151145513,0,0,800,0,0.9,1.1,-1.255163941,52.86364381,GB,380
GB12,PQ,0.953,-0.128979832,0,0,0,0,0.9,1.1,-0.219808814,52.93205225,GB,380
GB13,PQ,0.942,-0.14105751,0,0,0,0,0.9,1.1,0.198779153,52.72672158,GB,380
GB14,PV,0.932,-0.140010313,0,0,0,0,0.9,1.1,1.272295269,52.57403635,GB,380
GB15,PQ,0.909,-0.123063166,0,0,0,0,0.9,1.1,-0.907568308,51.92634688,GB,380
GB16,PQ,0.918,-0.164863801,0,0,0,0,0.9,1.1,-0.500739962,51.93429316,GB,380
GB17,PQ,0.923,-0.162228354,0,0,0,0,0.9,1.1,-0.249326346,51.92769348,GB,380
GB18,PQ,0.922,-0.166085532,0,0,0,0,0.9,1.1,0.118460111,51.93505282,GB,380
GB19,PQ,0.917,-0.147305789,0,0,0,0,0.9,1.1,0.7255421,52.00039309,GB,380
GB20,PQ,0.922,-0.139015475,0,0,0,0,0.9,1.1,1.061598413,52.07118579,GB,380
GB21,PQ,0.9,-0.033684855,0,0,1000,0,0.9,1.1,-1.190382085,51.71111384,GB,380
GB22,PQ,0.902,-0.257558238,0,0,5500,0,0.9,1.1,-0.095886403,51.53039835,GB,380
GB23,PQ,0.9,0.036983527,0,0,1000,0,0.9,1.1,-1.077280275,51.33629201,GB,380
GB24,PV,0.905,-0.138806035,0,0,0,0,0.9,1.1,0.715474718,51.44475984,GB,380
GB25,PQ,0.902,0.096237455,0,0,1000,0,0.9,1.1,-1.039880887,50.91705623,GB,380
GB26,PV,0.906,-0.07845255,0,0,0,0,0.9,1.1,1.096375597,51.29372071,GB,380
GB27,PV,0.966,-0.114388879,0,0,0,0,0.9,1.1,-0.178528,53.345633,GB,380
NL1,PV,1.098,-0.010960668,0,0,0,0,0.9,1.1,4.022206683,51.95508818,NL,380
NL2,PQ,1.099,-0.003054326,0,0,0,0,0.9,1.1,4.530380423,52.03622457,NL,380
NL3,PQ,1.098,-0.006527531,0,0,0,0,0.9,1.1,4.630595239,51.91440439,NL,380
NL4,PQ,1.096,-0.019338248,0,0,900,0,0.9,1.1,4.689296598,51.86395935,NL,380
NL5,PQ,1.095,-0.021781709,0,0,0,0,0.9,1.1,4.747997957,51.8135143,NL,380
NL6,Slack,1,0,0,0,900,0,0.9,1.1,4.833331644,51.70026041,NL,380
NL7,PQ,1.1,0.021868976,0,0,0,0,0.9,1.1,4.679143231,52.47266212,NL,380
NL8,PQ,1.098,0.026965337,0,0,900,0,0.9,1.1,5.014546856,52.33675991,NL,380
NL9,PQ,1.1,0.166486957,0,0,900,0,0.9,1.1,6.190173188,52.529986,NL,380
NL10,PQ,1.099,0.316916886,0,0,0,0,0.9,1.1,6.950363917,53.1238217,NL,380
NO1,PV,1.1,-0.02719223,0,0,0,0,0.9,1.1,6.847880732,58.27602567,NO,380
NO2,PV,1.1,-0.01844813,0,0,0,0,0.9,1.1,7.900400665,58.25974981,NO,380
NO3,PV,1.098,-0.029338985,0,0,0,0,0.9,1.1,6.753403351,58.6700317,NO,380
NO4,PQ,1.097,-0.016877334,0,0,0,0,0.9,1.1,8.729767678,58.5882958,NO,380
NO5,PQ,1.081,-0.099745567,0,0,500,0,0.9,1.1,5.734215456,58.81638056,NO,380
NO6,PQ,1.085,-0.039217548,0,0,0,0,0.9,1.1,6.663982725,59.06038454,NO,380
NO7,PQ,1.08,-0.003804818,0,0,0,0,0.9,1.1,7.249616363,59.34605485,NO,380
NO8,Slack,1,0,0,0,500,0,0.9,1.1,9.438009548,59.22410345,NO,380
NO9,PQ,1.07,-0.000331613,0,0,500,0,0.9,1.1,6.654956105,59.52990729,NO,380
OFW_DK,Slack,1,0,0,0,0,0,1,1,7.275696,56.527684,DK,380
OFW_NL,Slack,1,0,0,0,0,0,1,1,3.834229,52.759568,NL,380
OFW_DEC,Slack,1,0,0,0,0,0,1,1,5.284424,54.661124,DE,380
OFW_DEC2,Slack,1,0,0,0,0,0,1,1,4.827118,55.18122,DE,380
OFW_NO,Slack,1,0,0,0,0,0,1,1,4.658203,57.522273,NO,380
OFW_NL2,Slack,1,0,0,0,0,0,1,1,4.592285,54.584797,NL,380
OFW_NL3,Slack,1,0,0,0,0,0,1,1,3.383789,54.310114,NL,380
OFW_GB1,Slack,1,0,0,0,0,0,1,1,1.241455,53.389881,GB,380
OFW_GB2,Slack,1,0,0,0,0,0,1,1,0.692139,54.014225,GB,380
OFW_GB3,Slack,1,0,0,0,0,0,1,1,0.32959,54.914514,GB,380
OFW_GB4,Slack,1,0,0,0,0,0,1,1,-0.142822,55.553495,GB,380
OFW_GB5,Slack,1,0,0,0,0,0,1,1,-0.549316,56.059769,GB,380
