Node_id,type,Voltage_0,Power_Gained,Power_load,x_coord,y_coord,kV_base
dc_BE1,P,1,0,0,2.848206,51.161907,525
dc_BE2,P,1,0,0,2.493896,51.387209,525
dc_BE5,P,1,0,0,3.597507,51.113869,525
dc_DE2,P,1,0,0,7.918396,53.366124,525
dc_DE3,P,1,0,0,8.398361,53.24755,525
dc_DE4,P,1,0,0,9.488068,53.550915,525
dc_DE6,P,1,0,0,10.159006,53.554383,525
dc_DK6,P,1,0,0,8.519897,56.353078,525
dc_GB1,P,1,0,0,-1.746826,54.98707,525
dc_GB14,P,1,0,0,1.345825,52.556316,525
dc_GB2,P,1,0,0,-1.470966,54.610951,525
dc_GB24,P,1,0,0,0.717716,51.445235,525
dc_GB27,P,1,0,0,-0.126343,53.343993,525
dc_GB3,P,1,0,0,-0.802002,53.907574,525
dc_GB6,P,1,0,0,-0.730591,53.605544,525
dc_NL9,P,1,0,0,6.146851,52.542955,525
dc_NL10,P,1,0,0,6.91864,53.128646,525
dc_NL6,P,1,0,0,4.788666,51.698949,525
dc_NO3,P,1,0,0,6.679688,58.662725,525
dc_OFW_DEC,P,1,0,0,5.251465,54.635697,525
dc_OFW_DEC2,P,1,0,0,4.844971,55.166319,525
dc_OFW_DK,P,1,0,0,7.316895,56.46249,525
dc_OFW_GB1,P,1,0,0,1.175537,53.337433,525
dc_OFW_GB2,P,1,0,0,0.812988,53.949621,525
dc_OFW_GB3,P,1,0,0,0.373535,54.889246,525
dc_OFW_GB4,P,1,0,0,-0.032959,55.534848,525
dc_OFW_GB5,P,1,0,0,-0.505371,56.016808,525
dc_OFW_NL,P,1,0,0,3.878174,52.716331,525
dc_OFW_NL2,P,1,0,0,4.658203,54.527457,525
dc_OFW_NL3,P,1,0,0,3.416748,54.258807,525
dc_OFW_NO,P,1,0,0,4.75708,57.733971,525
