OWPP1,OWPP2,OWPP3,OWPP4,OWPP5,SF,L1,L2,L3,G1,G2,G3
OS_AC1,OS_AC3,OS_AC5,OS_AC7,OS_AC8,nAC4,nAC6,nAC9,nAC12,nAC3,nAC9,nAC12
65,90,85,30,35,25,50,40,50,,,
WPP,WPP,WPP,WPP,WPP,SF,Load,Load,Load,Slack,Slack,Slack
0.92511,0.90661,0.8326,0.42842,0.92511,0,0.58569,0.62018,0.5334,-1.75,1.38,166.1
0.92562,0.85157,0.90711,0.42215,0.92562,0,0.56225,0.60616,0.53205,-1.46,0.09,160.38
0.92728,0.87164,0.90874,0.41123,0.92728,0,0.5414,0.62396,0.50853,-5.27,0.08,157.75
0.91817,0.83554,0.91817,0.39519,0.91817,0,0.523,0.59953,0.48299,-4.41,0.05,147.5
0.91374,0.91374,0.87719,0.38006,0.91374,0,0.51048,0.59096,0.46465,-5.4,0.08,144.71
0.91996,0.85557,0.85557,0.35714,0.91996,0,0.51315,0.58192,0.47286,-4.69,0.09,144.71
0.92761,0.90906,0.86268,0.33476,0.92761,0,0.52662,0.58381,0.48791,-1.31,0.53,142.53
0.92738,0.84392,0.86246,0.31123,0.92738,0.00276,0.53312,0.58733,0.49886,-1.57,2.03,136.3
0.92384,0.85917,0.83146,0.29503,0.92384,0.02368,0.54201,0.61279,0.50356,-1.03,3.1,149.86
0.92766,0.9091,0.91838,0.28686,0.92766,0.05242,0.55631,0.63968,0.50278,-0.23,4.43,160
0.92404,0.92404,0.83163,0.28159,0.92404,0.07924,0.58285,0.66762,0.52725,-0.74,6.06,175
0.92183,0.92183,0.92183,0.28128,0.92183,0.08786,0.63043,0.68225,0.56462,-0.57,6.06,189.82
0.91763,0.83504,0.89928,0.27235,0.91763,0.05525,0.62624,0.68515,0.60331,-0.12,5.68,189.92
0.87374,0.86501,0.78637,0.2534,0.87374,0.02792,0.60324,0.68206,0.61707,0.85,17.71,198.4
0.92805,0.8538,0.86308,0.2275,0.92805,0.00607,0.61156,0.67677,0.62823,23.5,24.11,201.87
0.93385,0.86848,0.91518,0.20527,0.93385,0.00001,0.59304,0.64456,0.6544,36.54,36.54,206
0.92137,0.89373,0.82923,0.18273,0.92137,0,0.61598,0.67003,0.69801,46.03,46.03,195
0.90392,0.86776,0.84064,0.16791,0.90392,0,0.6478,0.68287,0.72439,36.64,55.57,221
0.91769,0.82592,0.82592,0.15684,0.91769,0,0.66202,0.66569,0.69722,54.95,54.95,255
0.92691,0.90837,0.88983,0.15111,0.92691,0,0.64664,0.62251,0.65915,45.83,49.23,240.2
0.92973,0.88324,0.92973,0.14225,0.92973,0,0.63604,0.60384,0.62598,36.57,44.99,210.37
0.93316,0.84917,0.84917,0.13522,0.93316,0,0.61731,0.57956,0.58426,45.96,45.96,198.31
0.93307,0.88641,0.93307,0.13086,0.93307,0,0.61575,0.56751,0.53953,35,35,190.97
0.92496,0.84172,0.83247,0.14515,0.92496,0,0.60061,0.55829,0.501,69.92,57.91,176.55
0.92883,0.83594,0.89167,0.15378,0.92883,0,0.57031,0.52708,0.49309,59.14,51.67,180
0.93427,0.84085,0.91559,0.15623,0.93427,0,0.53029,0.51866,0.48457,52.93,52.86,200
0.92306,0.85844,0.84921,0.16134,0.92306,0,0.49395,0.52199,0.47118,42.59,44.16,200.24
0.92487,0.88788,0.84163,0.17754,0.92487,0,0.49218,0.53012,0.45769,50.08,50.08,180.64
0.93073,0.93073,0.87488,0.18212,0.93073,0,0.50097,0.53132,0.44611,69.72,70.73,165
0.92825,0.84471,0.90969,0.17991,0.92825,0,0.53286,0.53381,0.44251,105.08,104.08,154.27
0.87753,0.79855,0.87753,0.16654,0.87753,0,0.5952,0.57612,0.47064,140.64,140.64,158.75
0.75661,0.74147,0.68851,0.15653,0.75661,0.00271,0.62505,0.63851,0.51395,151.89,145.98,177.29
0.72169,0.6856,0.71447,0.14927,0.72169,0.02974,0.6823,0.67894,0.561,158.84,147.05,163.46
0.78611,0.71536,0.7075,0.14782,0.78611,0.09897,0.71146,0.71212,0.59952,145.61,145.61,184.31
0.75627,0.68065,0.70333,0.15111,0.75627,0.17675,0.73656,0.74109,0.61313,143.35,143.35,200.56
0.74855,0.74106,0.73358,0.15829,0.74855,0.19035,0.76084,0.74742,0.60949,144.38,144.38,205.01
0.74873,0.74124,0.67386,0.15959,0.74873,0.14591,0.76231,0.72952,0.61725,143.76,143.76,207.57
0.62862,0.59718,0.57833,0.15569,0.62862,0.08022,0.7473,0.73657,0.62073,148.2,148.2,208.56
0.49456,0.45994,0.48962,0.14568,0.49456,0.0241,0.74263,0.72219,0.64292,155.34,155.34,199
0.50443,0.4893,0.46408,0.145,0.50443,0.00002,0.73963,0.71312,0.69047,163.3,162.89,193.5
0.61036,0.56764,0.54933,0.15187,0.61036,0,0.74481,0.73275,0.76947,175.81,170,184.31
0.7619,0.73142,0.71618,0.16096,0.7619,0,0.79016,0.77917,0.82055,174.74,174.74,195
0.82275,0.74048,0.75693,0.17105,0.82275,0,0.79846,0.74641,0.79992,166.45,164.46,210.49
0.8343,0.75921,0.80092,0.18503,0.8343,0,0.76555,0.76958,0.75539,153,153,188.62
0.87622,0.85869,0.84117,0.20122,0.87622,0,0.72779,0.72117,0.70423,141.67,141.67,166.97
0.88301,0.8212,0.8212,0.22002,0.88301,0,0.6901,0.64131,0.64854,134.91,131.67,139.6
0.91217,0.82095,0.82095,0.23537,0.91217,0,0.69348,0.61726,0.5854,124.22,118.06,155
0.91963,0.90124,0.86446,0.24385,0.91963,0,0.68333,0.59034,0.52468,130.01,78.81,97.52
0.9233,0.91406,0.88636,0.26295,0.9233,0,0.64366,0.55956,0.51382,120,73.93,127.98
0.93118,0.87531,0.92187,0.2893,0.93118,0,0.61517,0.557,0.51261,118.76,73.94,127.98
0.92264,0.87651,0.86728,0.32269,0.92264,0,0.5894,0.55141,0.49789,115,71.44,127.98
0.92581,0.92581,0.86101,0.35783,0.92581,0,0.58206,0.5473,0.47837,113.63,72.33,91.83
0.81387,0.77318,0.76504,0.38854,0.81387,0,0.58424,0.54685,0.46992,116.27,77.14,94.42
0.55044,0.54493,0.51741,0.4217,0.55044,0,0.61037,0.56661,0.50241,138.92,102.48,116.68
0.58668,0.58668,0.58082,0.44026,0.58668,0,0.66928,0.64075,0.54271,159.92,154.96,132
0.76334,0.75571,0.71754,0.45332,0.76334,0.00212,0.72341,0.72885,0.63914,169.17,163.92,175
0.92075,0.91154,0.8563,0.46845,0.92075,0.02604,0.78161,0.76737,0.69015,171.18,167.07,199.53
0.87604,0.82348,0.841,0.47655,0.87604,0.04105,0.80217,0.76583,0.73287,168.57,168.57,188
0.81251,0.77189,0.75564,0.47395,0.81251,0.0466,0.82238,0.77286,0.7563,169.49,169.49,190.97
0.89127,0.80214,0.8467,0.467,0.89127,0.04306,0.83116,0.75123,0.78064,164.5,164.5,192.3
0.92792,0.90936,0.85369,0.46325,0.92792,0.05079,0.81389,0.73782,0.79866,160.91,160.91,185
0.92595,0.8704,0.87966,0.46005,0.92595,0.03961,0.80825,0.73536,0.79892,163.06,163.06,185
0.93548,0.86064,0.91677,0.4563,0.93548,0.00715,0.79673,0.72308,0.78261,166.64,167.73,184
0.93689,0.91816,0.91816,0.45523,0.93689,0,0.79642,0.71948,0.78847,166.64,166.61,179
0.92329,0.85866,0.88636,0.4686,0.92329,0,0.81301,0.74424,0.81779,170.95,170.72,179
0.93515,0.88839,0.85099,0.48953,0.93515,0,0.86105,0.79371,0.83305,168.97,168.93,191
0.93505,0.8696,0.8696,0.49404,0.93505,0,0.86113,0.76285,0.79715,160.99,160.99,196
0.92956,0.91097,0.8459,0.50031,0.92956,0,0.8279,0.76644,0.74354,149.62,149.62,177
0.92658,0.86172,0.89879,0.50115,0.92658,0,0.78278,0.68637,0.68505,131.04,131.05,178
0.93625,0.88944,0.85199,0.51811,0.93625,0,0.74329,0.65602,0.62067,114.69,114.27,157.53
0.93397,0.92463,0.87793,0.54408,0.93397,0,0.74503,0.62627,0.56568,93.76,93.66,128
0.93067,0.87483,0.84691,0.56241,0.93067,0,0.7245,0.60863,0.54354,80.17,82.88,95
0.9124,0.86678,0.90328,0.58755,0.9124,0,0.67819,0.62374,0.54037,69.32,78.84,30
0.92773,0.8999,0.87206,0.60099,0.92773,0,0.63493,0.62076,0.54078,39.58,69.93,1
0.9262,0.89842,0.90768,0.61352,0.9262,0,0.61662,0.65499,0.53571,2.62,69.26,2.22
0.92633,0.8337,0.91707,0.62124,0.92633,0,0.60716,0.6875,0.52183,0.85,71.75,-4.15
0.9307,0.87486,0.83763,0.62162,0.9307,0,0.61043,0.70239,0.52507,11.02,81.73,-5.27
0.9348,0.9161,0.85067,0.63033,0.9348,0,0.64031,0.71901,0.54214,61.03,80.11,-0.1
0.93377,0.90575,0.91509,0.62223,0.93377,0,0.69773,0.76568,0.55131,94.6,83.33,11.53
0.92216,0.88527,0.8576,0.61253,0.92216,0.00552,0.74923,0.81769,0.60463,134.16,86.27,78
0.92527,0.85125,0.90677,0.60458,0.92527,0.03979,0.79816,0.84181,0.66178,129.64,85.37,142.73
0.93693,0.88071,0.85261,0.60535,0.93693,0.07508,0.81972,0.83976,0.68774,120.7,75.95,167.79
0.93392,0.86855,0.84987,0.60802,0.93392,0.11881,0.83728,0.8438,0.68968,100.24,81.71,170.58
0.92472,0.8415,0.85075,0.60688,0.92472,0.14722,0.85607,0.84302,0.68735,105.03,80.89,172.74
0.93386,0.84047,0.88716,0.5984,0.93386,0.13344,0.85422,0.8268,0.69167,106,79.72,162.51
0.93489,0.91619,0.88814,0.58862,0.93489,0.08878,0.84441,0.82639,0.68523,105.07,80.22,168
0.93048,0.85604,0.91187,0.57426,0.93048,0.03497,0.8368,0.82355,0.69123,103.9,79.74,168
0.93686,0.88065,0.86191,0.55913,0.93686,0,0.83071,0.79619,0.71737,107.98,80.82,154.83
0.91984,0.84625,0.90145,0.5427,0.91984,0,0.83732,0.81677,0.77339,122.35,86.16,151.47
0.92344,0.84956,0.90497,0.52857,0.92344,0,0.86435,0.86295,0.80239,139.93,72.28,191
0.92462,0.92462,0.91537,0.50573,0.92462,0,0.86563,0.81926,0.78777,129.49,66.61,211
0.91657,0.90741,0.83408,0.48808,0.91657,0,0.83109,0.77356,0.7529,105.89,62.13,208.2
0.92164,0.85713,0.89399,0.46707,0.92164,0,0.78918,0.75631,0.70544,90.61,57.26,200.99
0.92177,0.92177,0.87568,0.45004,0.92177,0,0.7472,0.74963,0.64271,87.92,37.94,199.3
0.91075,0.87432,0.83789,0.42796,0.91075,0,0.74077,0.71771,0.58598,78.19,30.82,195
0.91614,0.83369,0.87949,0.39335,0.91614,0,0.73347,0.68948,0.54718,34.78,30.03,348
0.93004,0.85563,0.88353,0.36104,0.93004,0,0.67863,0.699,0.54334,31.42,28.15,175
0.93682,0.87124,0.92745,0.32857,0.93682,0,0.64358,0.70884,0.54155,33.1,27.68,174.55
0.94132,0.88484,0.87543,0.30344,0.94132,0,0.6168,0.70258,0.53194,14.56,27.76,188.05
0.94451,0.87839,0.89728,0.28953,0.94451,0,0.60432,0.69094,0.50814,22.19,28.63,174.55
0.94563,0.86998,0.93618,0.26264,0.94563,0,0.60869,0.69049,0.49375,41.2,17.73,154.67
0.93594,0.84235,0.92658,0.23018,0.93594,0,0.64657,0.7005,0.49581,78.53,62.7,133
0.93277,0.85815,0.86747,0.21207,0.93277,0,0.71789,0.75649,0.57078,127.98,85.53,124
0.94305,0.88647,0.93362,0.20802,0.94305,0.00348,0.75986,0.78715,0.67578,141.02,93.54,165
0.93689,0.89005,0.89005,0.21161,0.93689,0.03732,0.81112,0.80697,0.72744,147.18,107.92,171.48
0.94152,0.85678,0.84737,0.24049,0.94152,0.0613,0.82927,0.78614,0.75034,149.81,128.75,179.3
0.9349,0.9162,0.9349,0.27464,0.9349,0.06916,0.83037,0.7964,0.75149,147.46,139.64,191.9
0.91504,0.82354,0.86929,0.31956,0.91504,0.07413,0.83432,0.77331,0.75045,143.17,139.99,184.74
0.9013,0.87426,0.83821,0.36325,0.9013,0.04716,0.84134,0.75539,0.74712,143.79,142.58,162
